scd,gender,age_grp,employee_yn,prime_yn,weekday,weekday2,total_qty,total_amt,event_product,product_amt,category_amt
20230101963762,1,4,0,1,6,0,1,9.389239411968807,0,1,1
20230101963763,1,4,0,1,6,0,22,133.81367365545742,0,16,8
20230101963769,0,5,0,1,6,0,9,50.3247886101806,0,6,2
20230101963777,1,4,0,0,6,0,7,59.302645024815774,0,7,3
20230101963796,0,5,0,0,6,0,19,96.50124259301766,0,12,8
20230101963800,0,5,0,1,6,0,2,19.28571885429603,1,2,2
20230101963806,0,4,0,0,6,0,3,18.24737114520423,1,2,2
20230101963811,1,6,0,1,6,0,10,28.48067858276555,0,3,2
20230101963813,1,4,0,0,6,0,5,13.371971239217574,1,1,0
20230101963817,0,4,0,0,6,0,1,10.568775236216991,1,1,1
20230101963818,0,3,0,1,6,0,1,8.62245370207373,0,1,0
20230101963831,0,4,0,1,6,0,3,19.681288974884264,2,2,2
20230101963840,1,4,0,1,6,0,9,60.01844583701043,0,7,4
20230101963848,0,4,0,1,6,0,1,10.328068777836522,1,1,1
20230101963853,0,4,0,1,6,0,1,10.328068777836522,1,1,1
20230101963861,0,4,0,0,6,0,4,9.92705758404856,0,1,1
20230101963865,0,4,0,0,6,0,1,10.450481157684562,0,1,1
20230101963872,0,4,0,1,6,0,13,90.8232574305252,1,10,5
20230101963881,0,5,0,0,6,0,15,110.17925213794294,1,13,6
20230101963887,1,3,0,1,6,0,17,104.3709060595874,0,12,7
20230101963891,0,3,0,1,6,0,20,100.47163358188072,0,12,6
20230101963906,0,4,0,0,6,0,17,61.022069149312145,0,7,5
20230101963908,1,3,0,0,6,0,1,9.208438564686588,0,1,1
20230101963911,0,6,0,1,6,0,23,89.8251168271376,0,10,5
20230101963918,0,3,0,0,6,0,15,101.33079119099824,0,12,8
20230101963926,1,4,0,0,6,0,47,243.56721873270288,1,28,11
20230101963944,0,3,0,0,6,0,8,68.73888201899625,0,8,4
20230101963952,0,4,0,0,6,0,1,8.984818995876008,0,1,1
20230101963954,0,4,0,1,6,0,9,19.26096982009301,0,2,2
20230101963968,1,5,0,1,6,0,1,10.832299564963956,0,1,1
20230101963970,0,4,0,0,6,0,7,45.90794109193473,0,5,4
20230101963971,1,3,0,0,6,0,2,16.815203029572285,0,2,1
20230101964048,1,3,0,0,6,0,9,28.214030795175045,0,3,2
20230101964061,0,4,0,0,6,0,2,8.835937789319836,0,1,1
20230101964068,1,3,0,0,6,0,2,17.25652337974072,0,2,2
20230101964071,0,4,0,0,6,0,4,28.094406669593024,0,3,1
20230101964090,1,2,0,1,6,0,5,26.746596666412884,3,3,1
20230101964093,0,4,0,0,6,0,6,53.22094586802467,0,6,3
20230101964097,0,4,0,1,6,0,10,10.856900643712033,0,1,0
20230101964119,0,3,0,0,6,0,7,61.48709296961175,1,7,5
20230101964121,0,4,0,0,6,0,7,43.20621512534146,0,5,4
20230101964135,0,3,0,1,6,0,4,11.590636224996905,0,1,1
20230101964145,0,2,0,0,6,0,2,16.817008179911824,0,2,1
20230101964149,0,3,0,1,6,0,6,50.549600450449276,0,6,4
20230101964167,0,5,0,0,6,0,4,29.566526995748205,3,3,2
20230101964188,1,4,0,0,6,0,23,109.47329761613132,5,12,8
20230101964216,0,5,0,1,6,0,28,170.0859315851938,0,20,8
20230101964229,0,6,0,1,6,0,1,11.533668826108128,1,1,1
20230101964244,0,3,0,0,6,0,37,115.66907150087476,0,13,6
20230101964247,0,3,0,0,6,0,4,35.79805351009422,0,4,2
20230101964282,1,4,0,1,6,0,8,34.55735099369468,0,4,2
20230101964291,0,4,0,0,6,0,11,77.83177123769988,0,9,8
20230101964292,1,2,0,1,6,0,1,10.328068777836522,1,1,1
20230101964296,0,4,0,0,6,0,25,95.61796069347481,0,11,9
20230101964304,0,3,0,1,6,0,1,11.597046000835524,0,1,1
20230101964342,0,2,0,0,6,0,2,17.16742455384321,0,2,2
20230101964345,1,4,0,1,6,0,23,96.4742256208763,0,11,5
20230101964350,0,4,0,1,6,0,1,10.245160527556513,0,1,1
20230101964363,1,4,0,1,6,0,1,10.377887752684266,0,1,1
20230101964365,1,4,0,0,6,0,8,60.20363739864362,0,7,4
20230101964368,1,4,0,0,6,0,2,10.118477957093951,0,1,1
20230101964373,1,3,0,1,6,0,6,17.665918232235512,0,2,1
20230101964375,0,4,0,1,6,0,16,36.732422076171794,0,4,2
20230101964376,0,3,0,0,6,0,9,28.538956688870435,0,3,2
20230101964415,0,3,0,1,6,0,23,118.07122882478322,0,14,8
20230101964417,1,6,0,0,6,0,12,38.18354010837935,2,4,1
20230101964420,0,4,0,0,6,0,45,127.29472444443309,0,14,8
20230101964427,0,5,0,0,6,0,2,18.4788060662967,0,2,0
20230101964434,0,3,0,1,6,0,23,122.12878623934769,0,14,12
20230101964470,0,4,0,1,6,0,1,8.56845648535378,0,1,0
20230101964471,0,4,0,0,6,0,2,16.150361852844824,0,2,1
20230101964473,0,3,0,1,6,0,3,11.517325769414713,1,1,1
20230101964480,0,5,0,0,6,0,6,38.78384948957243,3,4,3
20230101964482,1,4,0,0,6,0,5,27.70276364648589,1,3,2
20230101964505,1,4,0,1,6,0,5,17.716865400359367,0,2,1
20230101964540,1,4,0,0,6,0,4,28.50730618600096,0,3,1
20230101964547,1,5,0,0,6,0,2,9.485013189834325,0,1,0
20230101964556,1,3,0,1,6,0,14,94.35315722941858,0,11,5
20230101964566,1,4,0,0,6,0,19,70.52903217450864,0,8,3
20230101964569,1,4,0,1,6,0,21,88.85760250263274,0,10,5
20230101964572,1,3,0,0,6,0,12,71.05641367576095,1,8,5
20230101964576,1,5,0,1,6,0,1,10.377887752684266,0,1,1
20230101964589,1,3,0,1,6,0,9,44.97138041153461,0,5,0
20230101964603,0,6,0,0,6,0,1,9.135724578595394,0,1,1
20230101964612,1,3,0,0,6,0,8,60.62265692375273,0,7,4
20230101964617,0,5,0,1,6,0,19,119.32142854662746,0,14,10
20230101964621,1,4,0,0,6,0,13,88.04800084815402,0,10,7
20230101964638,0,4,0,1,6,0,42,110.35724895247553,2,13,9
20230101964639,1,3,0,0,6,0,22,50.02020695312994,0,5,4
20230101964640,1,3,0,1,6,0,3,26.024053233257753,0,3,2
20230101964642,1,5,0,1,6,0,8,43.23331981683387,0,5,3
20230101964646,0,4,0,0,6,0,5,34.84973588475953,1,4,4
20230101964665,1,4,0,0,6,0,2,9.613202094214232,0,1,1
20230101964666,0,4,0,1,6,0,14,76.6611336060769,0,9,5
20230101964675,1,5,0,1,6,0,2,10.526989863390185,0,1,1
20230101964676,0,5,0,1,6,0,1,9.013595294516504,0,1,1
20230101964697,1,3,0,0,6,0,2,19.02524389336832,0,2,1
20230101964706,1,4,0,1,6,0,1,9.084436955087028,0,1,1
20230101964707,0,4,0,0,6,0,15,96.07710609635643,0,11,4
20230101964708,0,5,0,0,6,0,3,27.736262301098677,1,3,0
20230101964720,1,3,0,0,6,0,1,11.771482491094766,1,1,1
20230101964725,1,4,0,1,6,0,1,9.536617962187329,0,1,0
20230101964780,1,3,0,0,6,0,14,101.91177362453598,1,12,9
20230101964787,0,5,0,0,6,0,2,19.218660130138964,1,2,1
20230101964788,1,3,0,1,6,0,2,10.187199253484014,1,1,1
20230101964790,0,4,0,0,6,0,4,33.21259351715351,0,4,1
20230101964793,1,4,0,0,6,0,4,10.993513080266917,0,1,1
20230101964801,0,4,0,0,6,0,14,94.50933146739224,0,11,5
20230101964810,0,4,0,1,6,0,5,44.24623285441154,1,5,2
20230101964820,1,3,0,0,6,0,10,69.57195834839878,0,8,6
20230101964821,0,3,0,0,6,0,17,93.86472434278885,1,11,7
20230101964833,0,4,0,1,6,0,4,17.712359010021473,0,2,2
20230101964838,0,4,0,0,6,0,3,10.304576432243314,0,1,1
20230101964854,0,2,0,1,6,0,15,109.99511735226838,0,13,7
20230101964865,1,4,0,0,6,0,4,11.279744203985432,1,1,0
20230101964877,1,4,0,0,6,0,1,11.452803841628848,1,1,1
20230101964886,0,4,0,0,6,0,5,36.99909107122897,0,4,2
20230101964887,0,4,0,1,6,0,3,27.982730006370176,0,3,2
20230101964905,0,4,0,1,6,0,20,132.4049616300587,0,16,7
20230101964909,1,3,0,0,6,0,3,28.15146020701021,3,3,2
20230101964910,0,4,0,0,6,0,6,38.82899165847493,1,4,4
20230101964911,0,3,0,0,6,0,2,18.868087865525332,0,2,0
20230101964912,0,3,0,0,6,0,2,16.812603105925398,0,2,2
20230101964916,1,3,0,0,6,0,2,15.084521102547178,0,2,2
20230101964918,0,2,0,0,6,0,6,40.387890371868025,0,5,2
20230101964919,0,4,0,0,6,0,20,67.93561542717006,0,7,2
20230101964922,0,4,0,1,6,0,6,44.30160811555666,1,5,1
20230101964925,0,4,0,0,6,0,17,85.21384692851483,1,10,8
20230101964939,1,3,0,0,6,0,3,27.9574899389511,3,3,0
20230101964943,1,4,0,0,6,0,15,89.55370121742861,1,10,5
20230101964949,1,2,0,0,6,0,9,62.509598859176606,0,7,3
20230101964953,0,4,0,0,6,0,1,9.639326675125693,1,1,1
20230101964959,1,6,0,0,6,0,3,30.97069267779267,0,3,1
20230101964960,0,4,0,0,6,0,15,72.15116921986764,1,8,4
20230101964972,0,3,0,0,6,0,9,42.948004653185535,0,5,3
20230101964973,1,3,0,0,6,0,14,73.55777005824471,0,8,3
20230101964985,1,5,0,1,6,0,1,9.592059086354348,0,1,1
20230101964989,1,4,0,0,6,0,3,28.42205450125872,0,3,3
20230101964990,0,5,0,0,6,0,6,10.568260978408226,0,1,0
20230101964999,0,3,0,0,6,0,2,16.398486456610488,0,2,1
20230101965008,0,4,0,0,6,0,3,18.608455886212482,0,2,2
20230101965016,1,6,0,0,6,0,3,11.526019364481389,0,1,0
20230101965030,0,3,0,0,6,0,5,43.791081278532616,0,5,3
20230101965034,1,3,0,1,6,0,11,93.60683961516858,1,11,7
20230101965043,1,5,0,0,6,0,10,19.20994814432744,1,2,1
20230101965044,1,4,0,0,6,0,10,10.785952591926186,0,1,0
20230101965049,0,3,0,0,6,0,2,17.647293882987697,0,2,1
20230101965058,0,4,0,0,6,0,8,62.64782674949602,2,7,4
20230101965061,1,4,0,0,6,0,2,19.278653350251385,2,2,0
20230101965066,0,4,0,0,6,0,15,92.39362801627145,0,11,6
20230101965072,0,3,0,1,6,0,15,128.20867751002635,1,15,9
20230101965073,1,6,0,1,6,0,1,9.96199228190869,0,1,1
20230101965075,1,4,0,0,6,0,1,10.25937718820102,0,1,1
20230101965082,0,4,0,0,6,0,18,51.07635286869447,0,6,4
20230101965084,1,5,0,0,6,0,49,55.99574840138908,0,6,2
20230101965086,1,5,0,0,6,0,5,10.920473936490946,0,1,1
20230101965093,0,5,0,1,6,0,21,155.09082263563516,4,18,15
20230101965095,0,5,0,0,6,0,5,45.41020946421298,0,5,0
20230101965102,0,4,0,1,6,0,6,8.798605650854423,0,1,1
20230101965104,0,3,0,0,6,0,11,19.791330237352096,0,2,2
20230101965106,0,2,0,0,6,0,22,144.4082665306521,1,17,7
20230101965109,0,4,0,1,6,0,8,71.05039863544772,1,8,4
20230101965110,1,4,0,1,6,0,22,127.91493411166765,0,15,10
20230101965114,0,5,0,1,6,0,2,11.15165426010308,0,1,0
20230101965116,0,2,0,1,6,0,2,19.087156580398325,1,2,0
20230101965143,0,4,0,1,6,0,2,9.937937287265354,1,1,1
20230101965152,0,4,0,0,6,0,8,70.98021552231113,0,8,2
20230101965159,0,3,0,0,6,0,12,38.27431817511115,0,4,1
20230101965164,0,3,0,0,6,0,22,109.96392069371393,0,13,7
20230101965168,0,5,0,0,6,0,4,19.186198031381124,2,2,2
20230101965193,0,4,0,1,6,0,2,10.28517213197889,0,1,0
20230101965197,0,4,0,1,6,0,13,108.87264644575642,1,13,3
20230101965198,1,5,0,0,6,0,3,19.58502950155697,2,2,1
20230101965204,0,2,0,1,6,0,3,10.043988352323694,1,1,0
20230101965205,1,4,0,1,6,0,10,58.88751123323017,2,6,4
20230101965207,0,4,0,0,6,0,2,10.357774570341576,0,1,0
20230101965217,0,3,0,0,6,0,7,59.115764401231246,0,7,4
20230101965222,0,4,0,0,6,0,23,126.27012714321185,0,15,12
20230101965225,0,6,0,1,6,0,15,54.37595163848123,0,6,4
20230101965227,0,4,0,1,6,0,11,53.283648763007456,0,6,2
20230101965237,0,4,0,0,6,0,17,53.65812199648618,0,6,5
20230101965239,0,4,0,1,6,0,1,8.161375023197486,0,1,1
20230101965240,0,4,0,1,6,0,6,50.73118505046044,1,6,2
20230101965250,1,4,0,0,6,0,13,55.71934451342721,0,6,4
20230101965260,1,5,0,1,6,0,8,74.21939559150398,5,8,6
20230101965265,1,4,0,0,6,0,2,12.464625810822277,1,1,1
20230101965274,0,5,0,1,6,0,6,38.35684630466651,0,4,2
20230101965282,1,3,0,0,6,0,6,35.19728834317617,0,4,4
20230101965285,1,5,0,0,6,0,13,81.06689845693883,0,10,6
20230101965289,1,5,0,0,6,0,3,28.036018937183215,0,3,0
20230101965294,1,5,0,0,6,0,12,55.60369406922079,0,6,2
20230101965298,1,3,0,0,6,0,6,53.9519614784303,3,6,2
20230101965303,1,3,0,1,6,0,2,9.672941671455156,0,1,1
20230101965310,0,4,0,0,6,0,3,25.457097979073314,0,3,1
20230101965316,0,4,0,0,6,0,14,92.55174205901102,1,11,5
20230101965321,0,2,0,1,6,0,14,66.10742297340566,0,8,5
20230101965322,1,3,0,0,6,0,1,10.372897255442528,0,1,1
20230101965328,0,4,0,0,6,0,6,11.552540331204208,1,1,0
20230101965344,0,4,0,0,6,0,1,8.217708406845306,0,1,1
20230101965347,0,4,0,1,6,0,17,148.05944211935991,4,17,9
20230101965349,1,5,0,1,6,0,2,12.279922370055132,1,1,0
20230101965372,1,4,0,1,6,0,9,60.63670543236583,0,7,4
20230101965374,0,4,0,0,6,0,7,45.075519172952035,0,5,2
20230101965375,0,3,0,1,6,0,1,10.41873339273561,1,1,1
20230101965388,1,5,0,1,6,0,5,18.633675627305905,0,2,0
20230101965419,1,4,0,0,6,0,4,36.996402256377095,0,4,1
20230101965420,0,3,0,0,6,0,9,60.20052170441826,0,7,5
20230101965421,1,3,0,1,6,0,10,61.40309312811958,1,7,4
20230101965423,0,4,0,1,6,0,10,10.634099097078431,0,1,1
20230101965440,1,4,0,0,6,0,8,35.052100720829515,0,4,4
20230101965449,1,3,0,0,6,0,2,12.83468397161566,1,1,0
20230101965452,0,3,0,0,6,0,5,18.68857342162042,1,2,1
20230101965456,0,4,0,1,6,0,3,27.454544394504218,2,3,3
20230101965458,0,4,0,0,6,0,2,8.981932990986873,0,1,1
20230101965469,0,4,0,0,6,0,13,10.561292488948782,0,1,1
20230101965472,0,4,0,1,6,0,29,77.99537666551171,0,9,4
20230101965475,0,2,0,0,6,0,6,28.39775636840561,0,3,2
20230101965476,0,4,0,0,6,0,2,8.380456667842767,0,1,0
20230101965484,1,2,0,1,6,0,11,92.28064378102441,0,11,7
20230101965492,1,3,0,0,6,0,4,33.87871289180481,0,4,2
20230101965495,0,4,0,1,6,0,15,114.10224351295376,0,14,6
20230101965510,1,3,0,1,6,0,1,8.102889134640868,0,1,1
20230101965518,1,5,0,1,6,0,8,47.02603363644354,0,5,3
20230101965532,0,4,0,0,6,0,17,85.77164750716022,0,10,1
20230101965542,0,2,0,0,6,0,11,78.19593469855688,1,9,6
20230101965557,0,4,0,0,6,0,2,16.448930599314494,1,2,2
20230101965561,1,5,0,1,6,0,1,9.41336284529417,0,1,0
20230101965562,0,3,0,1,6,0,23,171.86157605558546,2,20,12
20230101965564,1,4,0,0,6,0,1,9.566685261452934,1,1,0
20230101965568,1,4,0,0,6,0,19,123.4027326577611,0,14,8
20230101965579,0,4,0,1,6,0,1,9.41336284529417,0,1,0
20230101965590,0,4,0,0,6,0,20,10.773964685870736,0,1,0
20230101965607,0,4,0,1,6,0,1,8.673855001429615,0,1,1
20230101965609,1,3,0,1,6,0,19,46.067758732307595,0,5,3
20230101965617,1,4,0,0,6,0,4,38.18053318931439,2,4,2
20230101965630,1,4,0,0,6,0,24,12.855270550887722,1,1,1
20230101965633,0,3,0,1,6,0,19,86.17104774120935,0,10,3
20230101965635,0,3,0,1,6,0,11,82.32155617047302,0,10,7
20230101965641,1,2,0,1,6,0,1,9.41336284529417,0,1,0
20230101965651,0,4,0,0,6,0,3,29.122607533668074,3,3,1
20230101965653,0,5,0,0,6,0,5,28.587237439945792,0,3,0
20230101965659,0,3,0,0,6,0,19,106.68054681206958,0,12,7
20230101965663,0,4,0,0,6,0,21,119.77178136414162,0,14,11
20230101965673,1,5,0,1,6,0,4,33.77458167918651,1,4,3
20230101965687,1,5,0,1,6,0,1,9.41336284529417,0,1,1
20230101965694,0,4,0,0,6,0,18,53.280168026326436,0,6,4
20230101965703,0,4,0,0,6,0,4,27.361995662324667,0,3,2
20230101965730,0,3,0,0,6,0,4,33.8717116301538,0,4,2
20230101965736,1,4,0,1,6,0,9,59.91037319271192,0,7,5
20230101965754,1,3,0,1,6,0,1,9.592059086354348,1,1,0
20230101965766,0,4,0,1,6,0,36,173.60478588599685,1,20,7
20230101965767,1,5,0,0,6,0,12,28.37750328032141,1,3,1
20230101965779,1,3,0,0,6,0,6,35.83850802799863,0,4,4
20230101965791,1,3,0,0,6,0,2,10.950824090522444,0,1,1
20230101965794,0,3,0,0,6,0,7,51.40108000780734,0,6,5
20230101965796,0,3,0,0,6,0,3,26.65841720739848,0,3,0
20230101965806,1,4,0,1,6,0,13,78.97489482770516,0,9,2
20230101965815,1,3,0,0,6,0,3,10.57801240896798,0,1,1
20230101965832,0,4,0,1,6,0,19,82.11192034083031,0,9,6
20230101965837,1,5,0,1,6,0,4,11.88195477843718,1,1,1
20230101965863,1,3,0,1,6,0,11,81.56944672750929,0,10,6
20230101965869,0,4,0,0,6,0,11,83.80718665215753,0,10,7
20230101965870,0,5,0,0,6,0,6,53.142022103939865,1,6,4
20230101965879,1,3,0,1,6,0,13,78.86724183630182,2,9,4
20230101965883,1,4,0,1,6,0,18,114.0825013926878,0,14,6
20230101965884,1,5,0,1,6,0,1,10.316457760130064,0,1,1
20230101965887,0,4,0,1,6,0,1,10.459697547336718,1,1,1
20230101965894,0,4,0,0,6,0,7,62.26267323498465,0,7,4
20230101965906,0,5,0,0,6,0,2,19.231344395754668,0,2,0
20230101965908,0,4,0,1,6,0,8,10.652944175550664,0,1,0
20230101965912,0,3,0,0,6,0,6,36.00302489242367,0,4,2
20230101965913,0,4,0,0,6,0,4,33.580053924863336,0,4,2
20230101965915,0,4,0,1,6,0,3,24.6260904986242,0,3,2
20230101965917,1,3,0,1,6,0,13,101.5633857740825,0,13,9
20230101965921,0,4,0,1,6,0,14,75.56460643857055,0,9,4
20230101965937,1,4,0,0,6,0,15,73.88294941706138,0,8,5
20230101965940,1,5,0,1,6,0,7,61.20544917136968,0,7,5
20230101965948,0,4,0,0,6,0,19,122.77437394999977,0,14,5
20230101965954,1,4,0,0,6,0,7,27.262439397951518,0,3,0
20230101965981,0,3,0,0,6,0,9,29.21715412424451,0,3,2
20230101965987,1,3,0,1,6,0,6,51.78621390961163,1,6,4
20230101966002,1,4,0,0,6,0,5,27.445531906502985,1,3,2
20230101966008,0,5,0,0,6,0,2,10.247112717290388,0,1,1
20230101966010,0,4,0,0,6,0,10,84.73927913243178,0,10,8
20230101966016,0,4,0,0,6,0,18,53.18615282389951,0,6,3
20230101966018,1,4,0,1,6,0,16,63.68765103407029,0,7,6
20230101966029,0,4,0,0,6,0,1,7.992944547318106,0,1,0
20230101966037,1,2,0,1,6,0,10,53.80392216600686,0,6,2
20230101966038,1,3,0,0,6,0,4,17.94330577300022,0,2,2
20230101966039,0,4,0,0,6,0,10,45.127794552229595,1,5,4
20230101966044,0,3,0,1,6,0,22,100.83063925006225,1,12,9
20230101966046,0,6,0,0,6,0,11,64.21374198677262,0,7,3
20230101966052,0,4,0,0,6,0,2,10.085559078074873,0,1,1
20230101966065,0,5,0,1,6,0,2,17.81096054410216,1,2,2
20230101966066,1,2,0,1,6,0,15,108.9264641194057,0,13,10
20230101966069,0,3,0,0,6,0,9,44.06799108219597,2,5,4
20230101966073,0,4,0,0,6,0,6,27.34894629382944,1,3,1
20230101966079,1,5,0,1,6,0,11,37.88568757448542,1,4,3
20230101966083,1,5,0,1,6,0,5,43.998898384428514,0,5,4
20230101966091,1,2,0,1,6,0,3,17.866865517683777,0,2,2
20230101966100,1,2,0,0,6,0,7,37.7163752222081,0,4,3
20230101966105,0,3,0,0,6,0,11,78.48952627022719,0,9,8
20230101966111,1,2,0,0,6,0,9,68.97091394133525,0,8,1
20230101966116,0,4,0,0,6,0,4,36.555998769819354,1,4,2
20230101966126,0,3,0,0,6,0,2,9.210440366976515,0,1,0
20230101966140,0,3,0,0,6,0,1,9.975482579707275,1,1,0
20230101966164,0,5,0,0,6,0,1,10.907917358643626,1,1,0
20230101966180,1,5,0,1,6,0,3,28.677804505215192,0,3,3
20230101966182,0,4,0,1,6,0,6,51.1424487501111,0,6,2
20230101966196,0,4,0,0,6,0,2,18.142724818810656,0,2,1
20230101966198,0,4,0,1,6,0,25,103.91033909623289,1,12,6
20230101966205,0,4,0,0,6,0,6,29.394153125723598,0,3,2
20230101966232,1,5,0,0,6,0,2,8.953898535260459,0,1,1
20230101966233,1,5,0,0,6,0,3,26.786010408780193,1,3,2
20230101966236,0,4,0,1,6,0,17,54.84738975482361,1,6,2
20230101966261,0,3,0,1,6,0,15,40.16882428874464,0,4,1
20230101966264,0,4,0,0,6,0,3,18.659330340754657,0,2,0
20230101966268,0,4,0,0,6,0,1,7.959974528080536,0,1,1
20230101966275,0,3,0,1,6,0,30,100.67326590034794,1,11,5
20230101966282,0,5,0,1,6,0,9,59.35963775319936,1,7,5
20230101966284,1,3,0,0,6,0,2,9.287394001418471,0,1,0
20230101966293,0,4,0,0,6,0,8,60.62234424725798,0,7,4
20230101966308,0,5,0,0,6,0,3,18.556828537064064,1,2,1
20230101966311,0,4,0,0,6,0,8,53.294596635024526,1,6,2
20230101966319,0,4,0,1,6,0,25,78.44707887299283,0,9,4
20230101966324,1,4,0,0,6,0,3,27.43639602892597,0,3,1
20230101966326,0,6,0,1,6,0,24,143.5641564024374,1,17,10
20230101966327,1,3,0,0,6,0,6,44.22004903304323,0,5,2
20230101966344,0,4,0,0,6,0,13,20.038809114725524,0,2,1
20230101966346,1,5,0,1,6,0,50,56.29182480563272,0,6,4
20230101966363,1,5,0,0,6,0,2,20.19854221688938,0,2,1
20230101966388,0,5,0,0,6,0,1,11.659352105346109,1,1,1
20230101966415,1,3,0,0,6,0,8,11.58655689502437,1,1,1
20230101966418,1,3,0,1,6,0,6,41.6190821508091,0,5,4
20230101966422,0,3,0,0,6,0,1,10.605396238764646,0,1,0
20230101966426,0,4,0,0,6,0,10,79.03472859446426,1,9,5
20230101966441,0,3,0,1,6,0,20,142.68850817180117,0,17,10
20230101966446,0,5,0,0,6,0,7,44.91001463806144,0,5,2
20230101966449,0,5,0,0,6,0,6,52.870513308361865,0,6,4
20230101966469,1,3,0,0,6,0,2,10.596309680272128,1,1,0
20230101966470,1,4,0,1,6,0,21,108.67156442216434,2,12,4
20230101966489,0,4,0,1,6,0,10,66.03659041182567,1,8,5
20230101966496,0,4,0,0,6,0,10,51.88191970962679,0,6,3
20230101966501,1,4,0,0,6,0,3,10.57801240896798,0,1,1
20230101966505,1,5,0,0,6,0,7,44.59994994100094,1,5,2
20230101966513,0,4,0,0,6,0,1,7.845416036592485,0,1,1
20230101966525,1,3,0,0,6,0,9,10.112613312082134,0,1,0
20230101966535,0,3,0,1,6,0,2,17.498029979882585,0,2,0
20230101966539,1,4,0,0,6,0,3,25.706414185718536,0,3,1
20230101966562,1,3,0,0,6,0,1,9.664659134301736,0,1,0
20230101966566,1,3,0,1,6,0,8,41.273350307760694,0,5,5
20230101966572,0,5,0,0,6,0,1,11.771482491094766,1,1,1
20230101966576,0,5,0,1,6,0,1,9.674325928896357,1,1,1
