net_order_qty,net_order_amt,gender,age_grp,weekday2,event_product,category_count,prime_yn,most_product_0,most_product_1,most_product_2,most_product_3
8,68.73888201899625,0,3,0,0,5,0,0,1,0,0
1,8.984818995876008,0,4,0,0,1,0,0,0,1,0
9,19.26096982009301,0,4,0,0,2,1,0,0,0,1
1,10.832299564963956,1,5,0,0,1,1,1,0,0,0
7,45.90794109193473,0,4,0,0,4,0,1,0,0,0
2,16.815203029572285,1,3,0,0,1,0,0,0,1,0
9,28.214030795175045,1,3,0,0,2,0,0,1,0,0
2,8.835937789319836,0,4,0,0,1,0,0,0,1,0
2,17.25652337974072,1,3,0,0,2,0,1,0,0,0
4,28.094406669593024,0,4,0,0,3,0,1,0,0,0
5,26.746596666412884,1,2,0,0,2,1,0,1,0,0
6,53.22094586802467,0,4,0,0,4,0,1,0,0,0
10,10.856900643712033,0,4,0,0,1,1,0,0,0,1
7,61.48709296961175,0,3,0,1,5,0,1,0,0,0
7,43.20621512534146,0,4,0,0,2,0,0,0,1,0
4,11.590636224996905,0,3,0,0,1,1,0,0,0,1
2,16.817008179911824,0,2,0,0,2,0,0,1,0,0
6,50.549600450449276,0,3,0,0,3,1,0,1,0,0
4,29.566526995748205,0,5,0,4,1,0,1,0,0,0
23,109.47329761613132,1,4,0,0,5,0,1,0,0,0
28,170.0859315851938,0,5,0,0,7,1,0,1,0,0
1,11.533668826108128,0,6,0,1,1,1,0,0,0,1
37,115.66907150087476,0,3,0,0,1,0,0,0,1,0
4,35.79805351009422,0,3,0,0,2,0,1,0,0,0
8,34.55735099369468,1,4,0,0,1,1,1,0,0,0
11,77.83177123769988,0,4,0,0,2,0,0,1,0,0
1,10.328068777836522,1,2,0,0,1,1,0,0,1,0
25,95.61796069347481,0,4,0,0,5,0,0,0,0,1
1,11.597046000835524,0,3,0,0,1,1,1,0,0,0
2,17.16742455384321,0,2,0,0,2,0,0,1,0,0
23,96.4742256208763,1,4,0,0,5,1,1,0,0,0
1,10.245160527556513,0,4,0,0,1,1,0,0,0,1
1,10.377887752684266,1,4,0,0,1,1,0,0,1,0
8,60.20363739864362,1,4,0,0,5,0,0,1,0,0
2,10.118477957093951,1,4,0,0,1,0,1,0,0,0
6,17.665918232235512,1,3,0,0,2,1,0,1,0,0
16,36.732422076171794,0,4,0,0,3,1,0,1,0,0
9,28.538956688870435,0,3,0,0,2,0,0,1,0,0
23,118.07122882478322,0,3,0,0,4,1,0,1,0,0
12,38.18354010837935,1,6,0,0,3,0,0,1,0,0
45,127.29472444443309,0,4,0,0,5,0,0,1,0,0
2,18.4788060662967,0,5,0,0,2,0,0,0,1,0
23,122.12878623934769,0,3,0,0,6,1,0,1,0,0
1,8.56845648535378,0,4,0,0,1,1,0,1,0,0
2,16.150361852844824,0,4,0,0,2,0,1,0,0,0
3,11.517325769414713,0,3,0,3,1,1,0,0,0,1
6,38.78384948957243,0,5,0,4,3,0,1,0,0,0
5,27.70276364648589,1,4,0,1,2,0,1,0,0,0
5,17.716865400359367,1,4,0,0,2,1,0,1,0,0
4,28.50730618600096,1,4,0,0,1,0,0,1,0,0
2,9.485013189834325,1,5,0,0,1,0,0,0,1,0
14,94.35315722941858,1,3,0,0,5,1,0,1,0,0
19,70.52903217450864,1,4,0,0,5,0,1,0,0,0
21,88.85760250263274,1,4,0,0,3,1,1,0,0,0
12,71.05641367576095,1,3,0,1,4,0,1,0,0,0
1,10.377887752684266,1,5,0,0,1,1,0,0,1,0
9,44.97138041153461,1,3,0,0,4,1,0,1,0,0
1,9.135724578595394,0,6,0,0,1,0,0,0,0,1
8,60.62265692375273,1,3,0,0,3,0,0,1,0,0
19,119.32142854662746,0,5,0,0,5,1,0,0,1,0
13,88.04800084815402,1,4,0,0,5,0,0,1,0,0
42,110.35724895247553,0,4,0,1,4,1,1,0,0,0
22,50.02020695312994,1,3,0,0,2,0,0,1,0,0
3,26.024053233257753,1,3,0,0,3,1,1,0,0,0
8,43.23331981683387,1,5,0,0,3,1,1,0,0,0
5,34.84973588475953,0,4,0,1,2,0,0,0,0,1
2,9.613202094214232,1,4,0,0,1,0,0,0,0,1
14,76.6611336060769,0,4,0,0,4,1,0,0,1,0
2,10.526989863390185,1,5,0,0,1,1,1,0,0,0
1,9.013595294516504,0,5,0,0,1,1,0,0,0,1
2,19.02524389336832,1,3,0,0,2,0,1,0,0,0
1,9.084436955087028,1,4,0,0,1,1,0,1,0,0
15,96.07710609635643,0,4,0,0,5,0,0,1,0,0
3,27.736262301098677,0,5,0,1,2,0,0,0,0,1
1,11.771482491094766,1,3,0,1,1,0,1,0,0,0
1,9.536617962187329,1,4,0,0,1,1,1,0,0,0
14,101.91177362453598,1,3,0,0,4,0,0,1,0,0
2,19.218660130138964,0,5,0,1,1,0,1,0,0,0
2,10.187199253484014,1,3,0,2,1,1,0,0,1,0
4,33.21259351715351,0,4,0,0,3,0,0,1,0,0
4,10.993513080266917,1,4,0,0,1,0,1,0,0,0
14,94.50933146739224,0,4,0,0,4,0,0,1,0,0
5,44.24623285441154,0,4,0,1,3,1,1,0,0,0
10,69.57195834839878,1,3,0,0,3,0,0,1,0,0
17,93.86472434278885,0,3,0,1,2,0,0,0,1,0
4,17.712359010021473,0,4,0,0,2,1,0,1,0,0
3,10.304576432243314,0,4,0,0,1,0,0,1,0,0
15,109.99511735226838,0,2,0,0,7,1,0,1,0,0
1,11.452803841628848,1,4,0,1,1,0,1,0,0,0
5,36.99909107122897,0,4,0,0,4,0,1,0,0,0
3,27.982730006370176,0,4,0,0,2,1,1,0,0,0
20,132.4049616300587,0,4,0,0,7,1,0,1,0,0
3,28.15146020701021,1,3,0,3,1,0,0,0,1,0
6,38.82899165847493,0,4,0,3,4,0,1,0,0,0
2,18.868087865525332,0,3,0,0,1,0,0,0,0,1
2,16.812603105925398,0,3,0,0,2,0,1,0,0,0
2,15.084521102547178,1,3,0,0,2,0,0,1,0,0
6,40.387890371868025,0,2,0,0,1,0,1,0,0,0
20,67.93561542717006,0,4,0,0,3,0,0,1,0,0
6,44.30160811555666,0,4,0,2,4,1,1,0,0,0
17,85.21384692851483,0,4,0,1,7,0,0,1,0,0
3,27.9574899389511,1,3,0,3,1,0,0,0,1,0
15,89.55370121742861,1,4,0,1,5,0,0,1,0,0
9,62.509598859176606,1,2,0,0,3,0,0,1,0,0
1,9.639326675125693,0,4,0,1,1,0,0,0,0,1
3,30.97069267779267,1,6,0,0,1,0,1,0,0,0
15,72.15116921986764,0,4,0,1,4,0,0,1,0,0
9,42.948004653185535,0,3,0,0,2,0,1,0,0,0
14,73.55777005824471,1,3,0,0,5,0,0,1,0,0
1,9.592059086354348,1,5,0,0,1,1,1,0,0,0
3,28.42205450125872,1,4,0,0,2,0,1,0,0,0
6,10.568260978408226,0,5,0,0,1,0,0,0,1,0
2,16.398486456610488,0,3,0,0,2,0,1,0,0,0
3,18.608455886212482,0,4,0,0,1,0,1,0,0,0
3,11.526019364481389,1,6,0,0,1,0,0,0,0,1
5,43.791081278532616,0,3,0,0,3,0,0,1,0,0
11,93.60683961516858,1,3,0,0,3,1,0,1,0,0
10,19.20994814432744,1,5,0,3,2,0,1,0,0,0
10,10.785952591926186,1,4,0,0,1,0,0,1,0,0
2,17.647293882987697,0,3,0,0,2,0,0,1,0,0
8,62.64782674949602,0,4,0,2,3,0,0,1,0,0
2,19.278653350251385,1,4,0,2,2,0,1,0,0,0
15,92.39362801627145,0,4,0,0,4,0,0,1,0,0
15,128.20867751002635,0,3,0,1,7,1,0,1,0,0
1,9.96199228190869,1,6,0,0,1,1,1,0,0,0
1,10.25937718820102,1,4,0,0,1,0,1,0,0,0
18,51.07635286869447,0,4,0,0,2,0,0,0,1,0
49,55.99574840138908,1,5,0,0,1,0,1,0,0,0
5,10.920473936490946,1,5,0,0,1,0,1,0,0,0
21,155.09082263563516,0,5,0,3,6,1,0,1,0,0
5,45.41020946421298,0,5,0,0,5,0,1,0,0,0
6,8.798605650854423,0,4,0,0,1,1,0,1,0,0
11,19.791330237352096,0,3,0,0,1,0,1,0,0,0
22,144.4082665306521,0,2,0,0,5,0,0,1,0,0
8,71.05039863544772,0,4,0,0,4,1,1,0,0,0
22,127.91493411166765,1,4,0,0,5,1,0,0,1,0
2,11.15165426010308,0,5,0,0,1,1,0,0,1,0
2,19.087156580398325,0,2,0,0,1,1,0,0,0,1
2,9.937937287265354,0,4,0,2,1,1,1,0,0,0
8,70.98021552231113,0,4,0,0,6,0,1,0,0,0
12,38.27431817511115,0,3,0,0,2,0,0,0,1,0
22,109.96392069371393,0,3,0,0,4,0,0,0,1,0
4,19.186198031381124,0,5,0,0,2,0,0,1,0,0
2,10.28517213197889,0,4,0,0,1,1,1,0,0,0
13,108.87264644575642,0,4,0,0,6,1,0,1,0,0
3,19.58502950155697,1,5,0,3,1,0,1,0,0,0
3,10.043988352323694,0,2,0,3,1,1,0,0,1,0
10,58.88751123323017,1,4,0,3,3,1,1,0,0,0
2,10.357774570341576,0,4,0,0,1,0,1,0,0,0
7,59.115764401231246,0,3,0,0,3,0,0,1,0,0
23,126.27012714321185,0,4,0,0,5,0,1,0,0,0
15,54.37595163848123,0,6,0,0,4,1,1,0,0,0
11,53.283648763007456,0,4,0,0,4,1,0,1,0,0
17,53.65812199648618,0,4,0,0,5,0,0,1,0,0
1,8.161375023197486,0,4,0,0,1,1,1,0,0,0
6,50.73118505046044,0,4,0,0,3,1,0,1,0,0
13,55.71934451342721,1,4,0,0,3,0,0,1,0,0
8,74.21939559150398,1,5,0,4,4,1,1,0,0,0
2,12.464625810822277,1,4,0,2,1,0,1,0,0,0
6,38.35684630466651,0,5,0,0,2,1,0,1,0,0
6,35.19728834317617,1,3,0,0,1,0,0,1,0,0
13,81.06689845693883,1,5,0,0,2,0,1,0,0,0
3,28.036018937183215,1,5,0,0,3,0,1,0,0,0
12,55.60369406922079,1,5,0,0,4,0,0,1,0,0
6,53.9519614784303,1,3,0,3,5,0,1,0,0,0
2,9.672941671455156,1,3,0,0,1,1,0,0,0,1
3,25.457097979073314,0,4,0,0,2,0,0,1,0,0
14,92.55174205901102,0,4,0,1,6,0,0,1,0,0
14,66.10742297340566,0,2,0,0,1,1,0,0,1,0
1,10.372897255442528,1,3,0,0,1,0,1,0,0,0
1,8.217708406845306,0,4,0,0,1,0,1,0,0,0
17,148.05944211935991,0,4,0,4,6,1,1,0,0,0
2,12.279922370055132,1,5,0,2,1,1,1,0,0,0
9,60.63670543236583,1,4,0,0,2,1,0,1,0,0
7,45.075519172952035,0,4,0,0,4,0,0,1,0,0
1,10.41873339273561,0,3,0,1,1,1,0,0,0,1
5,18.633675627305905,1,5,0,0,2,1,0,1,0,0
4,36.996402256377095,1,4,0,0,3,0,1,0,0,0
9,60.20052170441826,0,3,0,0,6,0,0,1,0,0
10,61.40309312811958,1,3,0,1,4,1,0,1,0,0
10,10.634099097078431,0,4,0,0,1,1,0,1,0,0
8,35.052100720829515,1,4,0,0,4,0,0,1,0,0
5,18.68857342162042,0,3,0,0,2,0,1,0,0,0
3,27.454544394504218,0,4,0,2,3,1,1,0,0,0
2,8.981932990986873,0,4,0,0,1,0,1,0,0,0
13,10.561292488948782,0,4,0,0,1,0,0,0,1,0
29,77.99537666551171,0,4,0,0,3,1,0,0,1,0
6,28.39775636840561,0,2,0,0,3,0,1,0,0,0
2,8.380456667842767,0,4,0,0,1,0,0,0,0,1
11,92.28064378102441,1,2,0,0,4,1,1,0,0,0
4,33.87871289180481,1,3,0,0,3,0,1,0,0,0
15,114.10224351295376,0,4,0,0,5,1,1,0,0,0
1,8.102889134640868,1,3,0,0,1,1,0,0,1,0
8,47.02603363644354,1,5,0,0,4,1,0,1,0,0
17,85.77164750716022,0,4,0,0,3,0,0,0,1,0
11,78.19593469855688,0,2,0,0,3,0,0,1,0,0
2,16.448930599314494,0,4,0,0,1,0,0,0,1,0
1,9.41336284529417,1,5,0,0,1,1,1,0,0,0
23,171.86157605558546,0,3,0,2,6,1,1,0,0,0
1,9.566685261452934,1,4,0,1,1,0,0,0,1,0
19,123.4027326577611,1,4,0,0,7,0,1,0,0,0
1,9.41336284529417,0,4,0,0,1,1,1,0,0,0
20,10.773964685870736,0,4,0,0,1,0,0,0,1,0
1,8.673855001429615,0,4,0,0,1,1,0,1,0,0
19,46.067758732307595,1,3,0,0,2,1,1,0,0,0
4,38.18053318931439,1,4,0,1,2,0,1,0,0,0
19,86.17104774120935,0,3,0,0,4,1,0,1,0,0
11,82.32155617047302,0,3,0,0,6,1,0,1,0,0
1,9.41336284529417,1,2,0,0,1,1,1,0,0,0
3,29.122607533668074,0,4,0,3,2,0,1,0,0,0
5,28.587237439945792,0,5,0,0,3,0,0,1,0,0
19,106.68054681206958,0,3,0,0,6,0,0,1,0,0
21,119.77178136414162,0,4,0,0,6,0,0,1,0,0
4,33.77458167918651,1,5,0,1,3,1,1,0,0,0
1,9.41336284529417,1,5,0,0,1,1,1,0,0,0
18,53.280168026326436,0,4,0,0,4,0,0,1,0,0
4,27.361995662324667,0,4,0,0,3,0,0,1,0,0
4,33.8717116301538,0,3,0,0,3,0,0,1,0,0
9,59.91037319271192,1,4,0,0,2,1,0,1,0,0
1,9.592059086354348,1,3,0,1,1,1,1,0,0,0
36,173.60478588599685,0,4,0,1,7,1,0,1,0,0
12,28.37750328032141,1,5,0,1,2,0,0,0,1,0
6,35.83850802799863,1,3,0,0,2,0,0,1,0,0
2,10.950824090522444,1,3,0,0,1,0,1,0,0,0
7,51.40108000780734,0,3,0,0,3,0,0,0,0,1
3,26.65841720739848,0,3,0,0,3,0,0,1,0,0
13,78.97489482770516,1,4,0,0,4,1,1,0,0,0
3,10.57801240896798,1,3,0,0,1,0,1,0,0,0
19,82.11192034083031,0,4,0,0,5,1,0,1,0,0
4,11.88195477843718,1,5,0,0,1,1,0,0,1,0
11,81.56944672750929,1,3,0,0,5,1,0,1,0,0
11,83.80718665215753,0,4,0,0,3,0,1,0,0,0
6,53.142022103939865,0,5,0,1,4,0,0,1,0,0
13,78.86724183630182,1,3,0,0,3,1,0,1,0,0
18,114.0825013926878,1,4,0,0,4,1,0,0,1,0
1,10.316457760130064,1,5,0,0,1,1,0,0,1,0
1,10.459697547336718,0,4,0,1,1,1,1,0,0,0
7,62.26267323498465,0,4,0,0,5,0,0,1,0,0
2,19.231344395754668,0,5,0,0,1,0,1,0,0,0
8,10.652944175550664,0,4,0,0,1,1,0,1,0,0
6,36.00302489242367,0,3,0,0,3,0,0,1,0,0
4,33.580053924863336,0,4,0,0,1,0,1,0,0,0
3,24.6260904986242,0,4,0,0,3,1,1,0,0,0
13,101.5633857740825,1,3,0,0,5,1,1,0,0,0
14,75.56460643857055,0,4,0,0,4,1,1,0,0,0
15,73.88294941706138,1,4,0,0,3,0,0,1,0,0
7,61.20544917136968,1,5,0,0,2,1,0,1,0,0
19,122.77437394999977,0,4,0,0,5,0,0,1,0,0
7,27.262439397951518,1,4,0,0,2,0,1,0,0,0
9,29.21715412424451,0,3,0,0,3,0,1,0,0,0
6,51.78621390961163,1,3,0,0,4,1,0,1,0,0
5,27.445531906502985,1,4,0,0,3,0,0,1,0,0
2,10.247112717290388,0,5,0,0,1,0,1,0,0,0
10,84.73927913243178,0,4,0,0,5,0,0,1,0,0
18,53.18615282389951,0,4,0,0,3,0,1,0,0,0
16,63.68765103407029,1,4,0,0,2,1,0,1,0,0
1,7.992944547318106,0,4,0,0,1,0,0,1,0,0
10,53.80392216600686,1,2,0,0,2,1,0,1,0,0
4,17.94330577300022,1,3,0,0,1,0,0,1,0,0
10,45.127794552229595,0,4,0,1,4,0,0,1,0,0
22,100.83063925006225,0,3,0,0,6,1,0,0,1,0
11,64.21374198677262,0,6,0,0,5,0,0,1,0,0
2,10.085559078074873,0,4,0,0,1,0,1,0,0,0
2,17.81096054410216,0,5,0,1,2,1,1,0,0,0
15,108.9264641194057,1,2,0,0,5,1,1,0,0,0
9,44.06799108219597,0,3,0,0,2,0,0,0,1,0
6,27.34894629382944,0,4,0,1,2,0,1,0,0,0
11,37.88568757448542,1,5,0,3,3,1,1,0,0,0
5,43.998898384428514,1,5,0,0,3,1,1,0,0,0
3,17.866865517683777,1,2,0,0,1,1,0,1,0,0
7,37.7163752222081,1,2,0,0,2,0,0,1,0,0
11,78.48952627022719,0,3,0,0,4,0,0,1,0,0
9,68.97091394133525,1,2,0,0,2,0,0,1,0,0
4,36.555998769819354,0,4,0,0,2,0,1,0,0,0
2,9.210440366976515,0,3,0,0,1,0,0,1,0,0
1,9.975482579707275,0,3,0,0,1,0,0,0,0,1
1,10.907917358643626,0,5,0,1,1,0,1,0,0,0
3,28.677804505215192,1,5,0,0,2,1,0,1,0,0
6,51.1424487501111,0,4,0,0,3,1,0,1,0,0
2,18.142724818810656,0,4,0,0,2,0,0,1,0,0
25,103.91033909623289,0,4,0,0,7,1,0,1,0,0
6,29.394153125723598,0,4,0,0,2,0,1,0,0,0
2,8.953898535260459,1,5,0,0,1,0,1,0,0,0
3,26.786010408780193,1,5,0,1,2,0,0,0,0,1
17,54.84738975482361,0,4,0,2,2,1,0,0,1,0
15,40.16882428874464,0,3,0,0,2,1,0,1,0,0
3,18.659330340754657,0,4,0,0,2,0,1,0,0,0
1,7.959974528080536,0,4,0,0,1,0,0,1,0,0
30,100.67326590034794,0,3,0,1,3,1,1,0,0,0
9,59.35963775319936,0,5,0,2,4,1,1,0,0,0
2,9.287394001418471,1,3,0,0,1,0,0,0,1,0
8,60.62234424725798,0,4,0,0,4,0,0,1,0,0
3,18.556828537064064,0,5,0,2,2,0,1,0,0,0
8,53.294596635024526,0,4,0,1,4,0,1,0,0,0
25,78.44707887299283,0,4,0,0,4,1,0,1,0,0
3,27.43639602892597,1,4,0,0,2,0,1,0,0,0
24,143.5641564024374,0,6,0,2,6,1,1,0,0,0
6,44.22004903304323,1,3,0,0,3,0,0,1,0,0
13,20.038809114725524,0,4,0,0,2,0,1,0,0,0
50,56.29182480563272,1,5,0,0,3,1,1,0,0,0
2,20.19854221688938,1,5,0,0,1,0,0,0,1,0
1,11.659352105346109,0,5,0,1,1,0,1,0,0,0
6,41.6190821508091,1,3,0,0,5,1,0,1,0,0
1,10.605396238764646,0,3,0,0,1,0,0,0,1,0
10,79.03472859446426,0,4,0,0,6,0,0,1,0,0
20,142.68850817180117,0,3,0,0,6,1,0,1,0,0
7,44.91001463806144,0,5,0,0,2,0,0,1,0,0
6,52.870513308361865,0,5,0,0,4,0,0,0,0,1
21,108.67156442216434,1,4,0,2,5,1,1,0,0,0
10,66.03659041182567,0,4,0,1,4,1,1,0,0,0
10,51.88191970962679,0,4,0,0,4,0,0,0,1,0
3,10.57801240896798,1,4,0,0,1,0,1,0,0,0
7,44.59994994100094,1,5,0,1,5,0,1,0,0,0
1,7.845416036592485,0,4,0,0,1,0,0,0,1,0
9,10.112613312082134,1,3,0,0,1,0,1,0,0,0
2,17.498029979882585,0,3,0,0,2,1,0,1,0,0
3,25.706414185718536,1,4,0,0,2,0,0,1,0,0
1,9.664659134301736,1,3,0,0,1,0,1,0,0,0
8,41.273350307760694,1,3,0,0,4,1,0,1,0,0
1,11.771482491094766,0,5,0,1,1,0,1,0,0,0
1,9.674325928896357,0,5,0,0,1,1,0,0,0,1
14,53.86415300202627,1,3,0,0,5,0,0,1,0,0
18,108.10441226998627,0,4,0,0,5,0,0,1,0,0
8,59.253134279426014,0,4,0,0,5,0,0,1,0,0
26,204.72987501271902,0,4,0,0,4,1,0,0,1,0
6,42.62889560491885,1,3,0,0,2,0,0,1,0,0
12,24.790224017056673,0,6,0,0,2,0,0,0,0,1
5,34.758018907060176,0,3,0,0,2,0,0,1,0,0
2,17.216893922330573,0,5,0,0,2,0,1,0,0,0
5,34.77351384127341,1,3,0,0,2,0,0,1,0,0
8,10.999446323738674,0,4,0,0,1,0,0,1,0,0
2,19.218660130138964,1,3,0,0,1,0,1,0,0,0
41,152.13716769668991,1,4,0,0,6,1,0,1,0,0
2,10.357774570341576,0,5,0,0,1,0,1,0,0,0
11,53.18374398211763,0,4,0,0,4,1,1,0,0,0
13,92.90573424412236,0,4,0,0,5,0,0,1,0,0
7,51.24778816521363,0,4,0,0,4,0,1,0,0,0
39,222.64741904091127,0,3,0,0,6,0,0,1,0,0
14,78.36855670797483,0,3,0,1,3,1,1,0,0,0
23,38.836207062612445,0,5,0,0,2,1,1,0,0,0
1,10.234265033343494,1,5,0,0,1,0,1,0,0,0
8,33.789560119566616,1,3,0,0,1,1,0,0,1,0
8,68.37074905221316,0,3,0,0,4,0,0,1,0,0
3,10.007667371445793,1,4,0,0,1,0,1,0,0,0
1,8.518392471991719,1,3,0,0,1,0,1,0,0,0
12,93.64995867421005,1,3,0,0,5,1,1,0,0,0
10,76.43184051839096,0,6,0,0,3,0,1,0,0,0
4,36.94652848531381,0,3,0,0,4,0,1,0,0,0
1,10.412020550242234,1,4,0,0,1,1,0,0,1,0
1,10.412020550242234,1,4,0,0,1,1,0,0,1,0
5,37.135861732152314,0,4,0,2,2,1,1,0,0,0
31,29.58165188807876,0,3,0,0,1,1,0,0,1,0
1,7.260522598089852,0,4,0,0,1,1,1,0,0,0
2,19.060845003509307,1,4,0,2,2,1,1,0,0,0
4,13.134965634335655,1,4,0,4,1,1,1,0,0,0
14,62.97676906201849,0,6,0,0,5,1,0,0,0,1
11,19.404034249606006,0,3,0,1,1,0,0,0,1,0
3,18.830084253034624,0,6,0,0,1,1,0,0,0,1
6,10.654573398016518,0,4,0,0,1,0,0,0,0,1
1,9.55400099583723,1,3,0,0,1,0,1,0,0,0
14,59.300253079378095,0,4,0,0,4,1,1,0,0,0
1,10.412020550242234,1,4,0,0,1,1,0,0,1,0
8,28.738414225009976,0,4,0,0,3,1,1,0,0,0
5,34.84437650146525,0,6,0,0,3,1,0,1,0,0
10,62.024721022299886,1,4,0,0,3,0,0,1,0,0
11,70.11726468839623,0,4,0,2,5,0,1,0,0,0
3,10.181157167204905,1,3,0,0,1,0,0,0,0,1
8,63.41826316325863,0,6,0,0,5,1,1,0,0,0
20,152.93315861874999,1,4,0,0,6,1,0,1,0,0
4,34.28189105632681,1,4,0,0,1,0,0,1,0,0
13,53.736540362242714,1,4,0,0,3,1,0,0,1,0
25,86.72013258744879,0,5,0,1,6,0,1,0,0,0
6,28.89182295693498,1,4,0,1,2,0,1,0,0,0
16,69.97142488146201,0,4,0,1,3,0,0,0,1,0
6,19.723733247237128,1,4,0,0,1,0,0,1,0,0
6,35.81519437714497,0,6,0,0,2,1,1,0,0,0
20,10.250864402868729,1,4,0,0,1,1,0,1,0,0
5,42.5267256069759,0,4,0,0,4,0,0,1,0,0
5,10.772896298510153,0,4,0,0,1,1,1,0,0,0
1,10.450481157684562,1,3,0,0,1,0,0,0,1,0
10,10.079749117950207,0,5,0,0,1,1,0,1,0,0
2,9.929593799620609,1,5,0,2,1,1,1,0,0,0
2,17.241184463830738,0,4,0,0,2,0,0,0,1,0
3,25.66403017415154,0,4,0,0,3,1,0,1,0,0
