scd,gender,age_grp,weekday,total_qty,total_amt,category_0,category_1,category_2,category_3,event_product,num_category,amt/qty,prime_yn,employee_yn
20230101963361,0,5,0,1,10.62815762466823,0,1,0,0,0,1,10.62815762466823,0,N
20230101963362,0,4,0,14,36.990667954942,0,2,2,0,0,3,2.7449227187976994,1,N
20230101963370,1,4,0,7,52.218480733514625,0,4,1,1,0,5,7.939650944936987,1,N
20230101963377,1,2,0,11,91.1284365253931,1,0,10,0,0,2,8.284403320490282,0,Y
20230101963383,0,4,0,8,48.43841781659355,1,0,2,2,0,3,7.295582888686863,0,N
20230101963394,0,4,0,8,36.99941523619241,2,1,1,0,0,4,6.396884891549286,1,N
20230101963403,0,3,0,11,86.45647526071176,3,2,3,2,0,6,8.270842658812379,0,Y
20230101963415,1,2,0,1,9.142489705068009,1,0,0,0,0,1,9.142489705068009,1,Y
20230101963417,1,3,0,2,11.391288763472756,1,0,0,0,1,1,5.695644381736378,1,Y
20230101963419,1,2,0,12,12.500360352658946,0,1,0,0,1,1,1.041696696054912,1,Y
20230101963443,1,3,0,2,10.259797429846149,1,0,0,0,0,1,5.129898714923074,0,N
20230101963448,0,5,0,11,98.09659884266594,6,2,1,1,0,6,9.197897490312943,1,Y
20230101963454,1,4,0,38,235.68590306797998,3,7,17,1,0,6,6.876340206799675,1,Y
20230101963474,1,2,0,28,127.03946772290584,0,5,10,0,0,4,6.89053511506333,0,N
20230101963482,1,2,0,3,11.132309054831454,0,0,0,1,0,1,3.710769684943818,0,Y
20230101963491,0,4,0,3,11.809564801089715,0,1,0,0,1,1,3.9365216003632386,1,Y
20230101963496,0,5,0,8,53.09721576418068,0,4,1,1,0,3,7.275297669416503,0,N
20230101963497,1,2,0,11,28.98868065285887,0,3,0,0,0,2,3.579739693289664,1,N
20230101963501,0,4,0,8,65.4753361300567,1,0,0,6,0,3,8.619601070164805,0,Y
20230101963504,0,3,0,7,38.4128902601269,1,2,0,1,0,4,6.107119549322295,0,N
20230101963505,0,3,0,20,11.65789988570203,1,0,0,0,0,1,0.5828949942851015,0,N
20230101963506,1,3,0,41,31.727057382200208,0,0,2,1,0,2,3.7983748559635693,1,N
20230101963514,1,3,0,23,48.22534367989964,0,0,5,0,0,1,2.2283900107068324,1,N
20230101963518,0,4,0,14,79.77082212336663,3,2,4,0,0,3,6.825839518060089,0,N
20230101963524,0,4,0,10,68.47274555918962,2,4,2,0,1,5,7.448392946316726,1,N
20230101963529,1,4,0,12,84.26980755842136,2,5,2,1,0,7,7.560247170857541,1,N
20230101963537,1,3,0,7,53.60036808286456,1,4,1,0,0,4,8.164781738056286,1,Y
20230101963545,1,5,0,4,20.79396858669132,2,0,0,0,1,2,6.571491193612962,1,N
20230101963548,0,4,0,28,135.36311731858834,3,7,5,1,0,6,6.40563164895076,1,N
20230101963555,0,5,0,4,36.46994877690789,2,0,2,0,1,2,9.117487194226973,1,Y
20230101963580,0,5,0,7,11.766784430945284,0,1,0,0,0,1,1.680969204420755,1,N
20230101963586,0,3,0,26,170.89941531827472,7,5,7,1,0,8,7.517304288357485,1,Y
20230101963597,0,4,0,2,19.57900999244028,2,0,0,0,0,1,9.78950499622014,1,N
20230101963598,0,3,0,3,21.138146774011144,0,2,0,0,2,1,7.804756772526119,0,Y
20230101963599,0,5,0,12,52.162489419101924,1,3,1,1,0,6,6.62914554956473,1,N
20230101963600,0,4,0,1,11.080618310893968,0,1,0,0,1,1,11.080618310893968,0,N
20230101963602,0,5,0,15,113.19537220059355,4,1,2,5,0,5,8.268005025015865,1,Y
20230101963612,1,5,0,4,25.744967655960323,1,1,1,0,0,3,7.1285452908119495,1,N
20230101963613,1,2,0,14,127.04159557084114,4,5,2,3,0,6,9.07439968363151,1,Y
20230101963615,0,4,0,5,10.182292842675238,0,0,1,0,0,1,2.0364585685350476,0,N
20230101963616,1,3,0,1,8.861350110795998,0,1,0,0,0,1,8.861350110795998,1,N
20230101963624,1,4,0,17,146.12686641239458,5,0,11,1,1,4,8.595698024258505,1,Y
20230101963626,1,4,0,2,9.27995971385624,0,1,0,0,0,1,4.63997985692812,1,N
20230101963632,0,4,0,6,9.361773075736393,0,0,1,0,0,1,1.560295512622732,1,N
20230101963635,0,5,0,17,136.09714786044276,3,8,3,1,1,5,8.44095458042138,1,Y
20230101963646,0,4,0,11,69.07089700727765,1,4,3,0,0,5,7.307044287736217,1,N
20230101963649,0,4,0,5,44.22262147421603,1,3,0,1,0,4,8.844524294843206,0,N
20230101963650,0,3,0,1,10.867386798325008,1,0,0,0,0,1,10.867386798325008,0,Y
20230101963658,0,4,0,1,9.50181524266666,1,0,0,0,1,1,9.50181524266666,1,N
20230101963664,1,4,0,23,121.64584690615078,8,4,1,1,0,6,7.20718922288331,1,N
20230101963670,1,4,0,1,12.086291990961044,0,1,0,0,1,1,12.086291990961044,1,Y
20230101963681,1,4,0,2,16.743256399829402,2,0,0,0,0,1,8.371628199914701,1,Y
20230101963686,0,4,0,16,85.67254377821655,7,2,1,0,1,4,5.920403609481264,0,N
20230101963687,0,3,0,19,83.97521761961572,2,2,3,3,0,5,6.593964371772623,0,N
20230101963690,0,3,0,4,36.00889439898219,0,4,0,0,4,1,9.002223599745548,1,N
20230101963693,0,4,0,7,58.95108144049328,1,6,0,0,0,3,8.421583062927612,1,N
20230101963694,0,5,0,2,10.274913168420769,1,0,0,0,0,1,5.137456584210384,1,N
20230101963695,1,3,0,2,9.468001285315951,0,0,1,0,0,1,4.734000642657976,0,N
20230101963702,1,3,0,3,17.889411601563214,1,1,0,0,0,2,6.66793361524018,1,N
20230101963725,1,4,0,39,31.43212532327329,0,0,3,0,0,1,0.8059519313659816,0,N
20230101963726,0,4,0,1,10.710967378552104,0,1,0,0,1,1,10.710967378552104,1,Y
20230101963733,0,4,0,1,9.316500567804573,1,0,0,0,1,1,9.316500567804573,1,Y
20230101963734,0,4,0,8,62.91601451112649,0,7,0,0,0,1,8.303045426151462,1,Y
20230101963735,0,4,0,7,41.23837169726155,3,1,0,1,0,3,6.521355793107364,1,N
20230101963750,1,3,0,5,39.40255260596553,2,0,3,0,0,2,7.880510521193107,1,N
20230101963753,0,4,0,9,36.62794656638452,0,3,1,0,0,3,5.961894825477577,0,N
20230101963755,0,2,0,5,43.19865466567977,2,3,0,0,1,5,8.639730933135954,1,N
20230101963757,1,2,0,2,18.682690476350018,0,1,0,1,0,2,9.341345238175009,0,N
20230101963759,0,2,0,3,28.979815814309397,0,0,0,3,0,1,9.659938604769799,1,Y
20230101963761,0,4,0,3,26.490726881509968,1,0,0,2,0,3,8.830242293836656,1,N
20230101963762,1,4,0,1,9.389239411968807,0,0,0,1,0,1,9.389239411968807,1,N
20230101963763,1,4,0,22,133.81367365545742,4,5,6,1,0,5,7.299157676229036,1,N
20230101963769,0,5,0,9,50.3247886101806,0,1,2,3,0,3,6.705878582699884,1,N
20230101963777,1,4,0,7,59.302645024815774,0,6,0,1,0,4,8.471806432116539,0,N
20230101963790,0,3,0,17,98.26322161890748,5,3,2,1,0,6,7.185759537435998,0,Y
20230101963796,0,5,0,19,96.50124259301766,2,0,10,0,0,2,5.652299147673651,0,N
20230101963800,0,5,0,2,19.28571885429603,1,1,0,0,1,2,9.642859427148014,1,N
20230101963804,1,2,0,4,10.363472411086745,1,0,0,0,0,1,2.590868102771686,0,Y
20230101963806,0,4,0,3,18.24737114520423,1,0,0,1,1,2,6.5829833901098835,0,N
20230101963811,1,6,0,10,28.48067858276555,1,1,0,1,0,3,5.116826588847103,1,N
20230101963813,1,4,0,5,13.371971239217574,0,1,0,0,1,1,2.674394247843515,0,N
20230101963817,0,4,0,1,10.568775236216991,0,1,0,0,1,1,10.568775236216991,0,N
20230101963818,0,3,0,1,8.62245370207373,0,1,0,0,0,1,8.62245370207373,1,N
20230101963831,0,4,0,3,19.681288974884264,2,0,0,0,2,1,7.293844674071129,1,N
20230101963838,1,3,0,30,25.60157159258771,0,2,0,0,2,1,0.9547989302187622,1,Y
20230101963840,1,4,0,9,60.01844583701043,4,0,3,0,0,2,7.331180663465297,1,N
20230101963848,0,4,0,1,10.328068777836522,1,0,0,0,0,1,10.328068777836522,1,N
20230101963853,0,4,0,1,10.328068777836522,1,0,0,0,0,1,10.328068777836522,1,N
20230101963861,0,4,0,4,9.92705758404856,0,1,0,0,0,1,2.48176439601214,0,N
20230101963865,0,4,0,1,10.450481157684562,1,0,0,0,0,1,10.450481157684562,0,N
20230101963872,0,4,0,13,90.8232574305252,6,1,3,0,1,4,7.68377612588517,1,N
20230101963874,1,3,0,53,66.44995513467212,4,0,3,0,0,3,2.0064578118752547,1,Y
20230101963877,0,2,0,8,56.23013474462869,0,2,1,3,1,4,7.935817557846145,0,Y
20230101963881,0,5,0,15,110.17925213794294,3,6,1,3,1,7,7.86651034068479,0,N
20230101963883,0,3,0,5,11.930391605086411,0,1,0,0,1,1,2.3860783210172825,1,Y
20230101963887,1,3,0,17,104.3709060595874,0,7,5,0,0,4,7.0255666077102505,1,N
20230101963891,0,3,0,20,100.47163358188072,5,6,0,1,0,5,5.98623677651863,1,N
20230101963893,1,4,0,5,36.81010984085944,3,1,0,0,0,3,7.987341717145723,0,Y
20230101963901,1,4,0,1,12.685831660886013,0,1,0,0,1,1,12.685831660886013,0,Y
20230101963906,0,4,0,17,61.022069149312145,3,1,1,2,0,4,5.126971617486609,0,N
20230101963908,1,3,0,1,9.208438564686588,0,1,0,0,0,1,9.208438564686588,0,N
20230101963911,0,6,0,23,89.8251168271376,0,6,4,0,0,4,5.388070193706827,1,N
20230101963918,0,3,0,15,101.33079119099824,3,4,4,1,0,6,7.368474496957951,0,N
20230101963919,1,2,0,9,45.75422708727804,2,1,2,0,1,3,6.593613496397656,1,Y
20230101963926,1,4,0,47,243.56721873270288,10,6,11,1,1,6,6.111939375397166,0,N
20230101963939,1,3,0,2,20.014876734206197,0,2,0,0,2,1,10.007438367103099,1,Y
20230101963943,1,5,0,11,70.31407925092442,1,5,0,1,0,4,7.857938070953599,1,Y
20230101963944,0,3,0,8,68.73888201899625,1,5,1,1,0,5,8.592360252374531,0,N
20230101963952,0,4,0,1,8.984818995876008,0,0,1,0,0,1,8.984818995876008,0,N
20230101963954,0,4,0,9,19.26096982009301,0,0,0,2,0,2,4.735378561088172,1,N
20230101963968,1,5,0,1,10.832299564963956,0,0,0,1,0,1,10.832299564963956,1,N
20230101963970,0,4,0,7,45.90794109193473,3,2,0,0,0,3,7.378448634142697,0,N
20230101963971,1,3,0,2,16.815203029572285,0,0,2,0,0,1,8.407601514786142,0,N
20230101963974,1,3,0,10,74.0980665513355,2,4,1,1,0,6,8.184365887037018,0,Y
20230101963982,0,6,0,1,9.71474542793925,0,1,0,0,0,1,9.71474542793925,1,Y
20230101963983,0,4,0,14,62.77831353822479,5,0,0,2,0,3,4.484165252730342,0,Y
20230101963988,1,5,0,5,10.878349033768062,0,1,0,0,0,1,2.1756698067536124,0,Y
20230101963998,1,3,0,4,34.62264035579656,0,2,2,0,0,3,8.65566008894914,1,Y
20230101963999,0,4,0,21,86.09464590996852,3,1,6,0,1,4,5.420462051366254,0,Y
20230101964017,0,5,0,15,110.72504623290733,6,3,1,2,1,5,8.06667116317445,1,Y
20230101964027,0,5,0,2,11.404103409534896,0,1,0,0,1,1,5.702051704767448,1,Y
20230101964033,0,3,0,11,33.07616285961708,0,3,0,0,3,1,7.394689878842584,1,Y
20230101964048,1,3,0,9,28.214030795175045,0,3,0,0,0,2,3.6940036909291094,0,N
20230101964053,1,3,0,9,59.336161396880485,2,4,0,0,0,4,7.939497701974808,0,Y
20230101964056,0,2,0,9,64.66452140286314,0,7,0,0,0,2,7.848846739130672,1,Y
20230101964061,0,4,0,2,8.835937789319836,0,0,1,0,0,1,4.417968894659918,0,N
20230101964068,1,3,0,2,17.25652337974072,1,0,1,0,0,2,8.62826168987036,0,N
20230101964071,0,4,0,4,28.094406669593024,1,1,0,1,0,3,7.6783892303486825,0,N
20230101964083,1,4,0,1,9.98345333417401,0,1,0,0,0,1,9.98345333417401,1,Y
20230101964085,1,4,0,1,9.98345333417401,0,1,0,0,0,1,9.98345333417401,1,Y
20230101964087,1,4,0,1,9.98345333417401,0,1,0,0,0,1,9.98345333417401,1,Y
20230101964090,1,2,0,5,26.746596666412884,0,3,0,0,0,2,5.898374380296946,1,N
20230101964091,0,5,0,12,34.85145375281577,0,3,0,0,3,1,5.534741274203808,1,Y
20230101964093,0,4,0,6,53.22094586802467,2,2,2,0,0,4,8.870157644670778,0,N
20230101964094,0,2,0,17,67.8150237377226,7,0,0,0,1,2,5.92799675502489,0,Y
20230101964097,0,4,0,10,10.856900643712033,0,0,0,1,0,1,1.0856900643712033,1,N
20230101964107,0,5,0,19,53.9572985197353,0,0,6,0,0,1,2.8693972652504196,1,Y
20230101964119,0,3,0,7,61.48709296961175,3,3,1,0,1,6,8.78387042423025,0,N
20230101964121,0,4,0,7,43.20621512534146,1,0,4,0,0,2,6.947264641408647,0,N
20230101964133,1,3,0,6,11.10818509417652,1,0,0,0,1,1,1.8513641823627534,1,Y
20230101964135,0,3,0,4,11.590636224996905,0,1,0,0,0,1,2.897659056249226,1,N
20230101964139,1,4,0,2,11.014110753870373,0,1,0,0,1,1,5.507055376935186,1,Y
20230101964140,0,2,0,1,12.307568201845754,0,1,0,0,0,1,12.307568201845754,1,Y
20230101964145,0,2,0,2,16.817008179911824,0,1,1,0,0,2,8.408504089955912,0,N
20230101964148,0,5,0,1,12.685831660886013,0,1,0,0,1,1,12.685831660886013,0,Y
20230101964149,0,3,0,6,50.549600450449276,0,3,3,0,0,3,8.424933408408213,1,N
20230101964167,0,5,0,4,29.566526995748205,2,0,0,1,3,2,8.129213236859139,0,N
20230101964169,0,5,0,5,36.55516856885033,0,2,0,2,0,3,7.966376721671212,1,Y
20230101964180,1,4,0,5,11.83033137458823,1,0,0,0,1,1,2.366066274917646,1,Y
20230101964186,1,4,0,16,105.2506231259663,3,5,0,4,0,5,7.892655381031369,1,Y
20230101964188,1,4,0,23,109.47329761613132,4,3,0,5,0,5,5.481755729416019,0,N
20230101964192,0,4,0,1,11.36048498857772,0,0,0,1,0,1,11.36048498857772,0,Y
20230101964196,1,3,0,2,21.563805099233736,0,1,0,1,2,2,10.781902549616868,1,Y
20230101964210,0,5,0,17,81.81135873194735,1,4,2,2,0,5,6.994391493641016,0,Y
20230101964216,0,5,0,28,170.0859315851938,3,9,3,5,0,7,7.286747757330271,1,N
20230101964229,0,6,0,1,11.533668826108128,0,1,0,0,1,1,11.533668826108128,1,N
20230101964243,1,3,0,10,44.96891143396874,5,0,0,0,0,1,5.643510723612783,1,Y
20230101964244,0,3,0,37,115.66907150087476,2,0,11,0,0,2,3.183423970965848,0,N
20230101964247,0,3,0,4,35.79805351009422,1,2,0,1,0,3,8.949513377523555,0,N
20230101964258,1,5,0,15,37.69411802266993,2,0,2,0,0,2,4.331914880078381,1,Y
20230101964275,1,5,0,8,63.55234974729059,1,4,1,1,0,6,8.406986141683166,0,Y
20230101964282,1,4,0,8,34.55735099369468,4,0,0,0,0,1,6.576662509282857,1,N
20230101964285,1,2,0,6,46.52714923942929,0,1,1,3,0,4,8.30906099236317,0,Y
20230101964291,0,4,0,11,77.83177123769988,0,4,5,0,0,2,7.6281717198012196,0,N
20230101964292,1,2,0,1,10.328068777836522,1,0,0,0,0,1,10.328068777836522,1,N
20230101964296,0,4,0,25,95.61796069347481,2,2,3,4,0,5,5.421465673341027,0,N
20230101964297,1,2,0,2,17.974514149687522,1,0,0,1,0,2,8.987257074843761,0,Y
20230101964299,1,3,0,4,10.847568533391785,1,0,0,0,1,1,2.711892133347946,0,Y
20230101964300,1,3,0,32,236.31793136353036,16,5,2,5,0,7,7.86651800707737,1,Y
20230101964304,0,3,0,1,11.597046000835524,0,1,0,0,0,1,11.597046000835524,1,N
20230101964310,1,3,0,5,27.168311386342427,2,1,0,0,1,2,6.948306202332795,1,Y
20230101964328,0,2,0,11,12.702809486853065,0,1,0,0,1,1,1.1548008624411876,1,Y
20230101964342,0,2,0,2,17.16742455384321,0,2,0,0,0,2,8.583712276921606,0,N
20230101964345,1,4,0,23,96.4742256208763,4,5,2,0,0,5,5.116273536935328,1,N
20230101964350,0,4,0,1,10.245160527556513,0,1,0,0,0,1,10.245160527556513,1,N
20230101964352,1,3,0,8,73.3148152866844,1,4,2,1,0,4,9.16435191083555,0,Y
20230101964354,1,3,0,12,83.9178829433675,0,2,5,3,0,3,7.467946121140734,1,Y
20230101964363,1,4,0,1,10.377887752684266,1,0,0,0,0,1,10.377887752684266,1,N
20230101964365,1,4,0,8,60.20363739864362,1,4,2,0,0,4,8.010984769210095,0,N
20230101964368,1,4,0,2,10.118477957093951,0,0,0,1,0,1,5.059238978546976,0,N
20230101964372,1,4,0,19,156.78857089550115,6,3,3,6,0,4,8.49212697237399,0,Y
20230101964373,1,3,0,6,17.665918232235512,0,1,0,1,0,2,2.9443197053725854,1,N
20230101964375,0,4,0,16,36.732422076171794,1,2,0,1,0,3,2.4407238231184234,1,N
20230101964376,0,3,0,9,28.538956688870435,0,3,0,0,0,2,4.539818831926865,0,N
20230101964385,1,4,0,9,72.64705725490134,3,0,2,3,5,6,8.515063307140812,1,Y
20230101964386,0,5,0,2,11.064871176788817,1,0,0,0,0,1,5.532435588394408,1,Y
20230101964395,0,3,0,1,10.021848199120974,0,1,0,0,1,1,10.021848199120974,0,Y
20230101964401,1,3,0,1,9.850192255477904,0,0,0,1,0,1,9.850192255477904,1,Y
20230101964415,0,3,0,23,118.07122882478322,0,8,6,0,0,3,6.663624421645501,1,N
20230101964417,1,6,0,12,38.18354010837935,0,3,0,1,0,3,4.619363261668038,0,N
20230101964420,0,4,0,45,127.29472444443309,4,6,3,1,0,6,4.0842189488909195,0,N
20230101964427,0,5,0,2,18.4788060662967,0,0,1,1,0,2,9.23940303314835,0,N
20230101964434,0,3,0,23,122.12878623934769,2,9,2,1,0,6,6.364100631252149,1,N
20230101964446,1,4,0,1,10.491301994830229,1,0,0,0,0,1,10.491301994830229,0,Y
20230101964453,1,3,0,14,114.55380476507732,4,4,3,2,0,6,8.429669723200337,0,Y
20230101964457,0,4,0,1,10.547864568726643,0,0,1,0,1,1,10.547864568726643,1,Y
20230101964459,1,3,0,9,72.90356041158,0,0,1,7,0,4,8.514504243472665,0,Y
20230101964462,1,3,0,7,51.54655653602538,1,3,1,0,5,3,8.172853981663929,1,Y
20230101964464,1,3,0,5,35.55880000109795,0,0,1,3,0,2,7.774851983027512,0,Y
20230101964467,1,4,0,17,85.91924114336032,1,2,1,6,0,5,6.413840150868931,1,Y
20230101964470,0,4,0,1,8.56845648535378,0,1,0,0,0,1,8.56845648535378,1,N
20230101964471,0,4,0,2,16.150361852844824,1,0,1,0,0,2,8.075180926422412,0,N
20230101964473,0,3,0,3,11.517325769414713,0,1,0,0,1,1,3.8391085898049044,1,N
20230101964480,0,5,0,6,38.78384948957243,0,1,1,2,3,3,7.1428972900526455,0,N
20230101964482,1,4,0,5,27.70276364648589,2,1,0,0,1,3,6.212865237019376,0,N
20230101964505,1,4,0,5,17.716865400359367,0,1,1,0,0,2,5.448972218891047,1,N
20230101964512,1,4,0,7,34.995187414452246,0,3,1,0,0,4,6.173762863599009,1,Y
20230101964527,0,5,0,11,12.036837092284582,0,1,0,0,1,1,1.0942579174804166,0,Y
20230101964531,1,3,0,8,22.36789823719392,0,2,0,0,2,1,3.6516829683708525,1,Y
20230101964535,0,2,0,9,73.6611503745869,0,6,1,1,0,4,8.615720065071232,0,Y
20230101964540,1,4,0,4,28.50730618600096,0,3,0,0,0,1,7.8440322541302265,0,N
20230101964547,1,5,0,2,9.485013189834325,0,0,1,0,0,1,4.742506594917162,0,N
20230101964556,1,3,0,14,94.35315722941858,4,5,1,1,0,6,8.026381632063352,1,N
20230101964560,1,2,0,3,26.8256826799835,1,1,0,1,2,3,8.941894226661168,1,Y
20230101964566,1,4,0,19,70.52903217450864,5,2,0,1,0,4,5.585603672807576,0,N
20230101964568,0,4,0,7,57.99349646822449,2,3,0,1,0,4,8.821693486116551,0,Y
20230101964569,1,4,0,21,88.85760250263274,5,2,3,0,0,4,6.3419371223961924,1,N
20230101964572,1,3,0,12,71.05641367576095,5,1,2,0,1,5,6.589525885753382,0,N
20230101964573,1,5,0,8,60.49495088230548,2,3,1,1,0,6,8.069565282398838,0,Y
20230101964576,1,5,0,1,10.377887752684266,1,0,0,0,0,1,10.377887752684266,1,N
20230101964580,0,2,0,13,81.62131576226471,4,4,1,0,0,4,6.963035395545098,1,Y
20230101964583,0,4,0,1,9.703877405604633,0,0,0,1,0,1,9.703877405604633,0,Y
20230101964587,0,3,0,1,9.89877647280601,0,0,0,1,0,1,9.89877647280601,1,Y
20230101964589,1,3,0,9,44.97138041153461,0,3,0,2,0,3,5.904667105034872,1,N
20230101964594,0,3,0,6,11.908346971208951,0,1,0,0,1,1,1.984724495201492,0,Y
20230101964603,0,6,0,1,9.135724578595394,0,0,0,1,0,1,9.135724578595394,0,N
20230101964606,0,3,0,1,12.107273887707487,0,1,0,0,1,1,12.107273887707487,1,Y
20230101964612,1,3,0,8,60.62265692375273,0,5,2,0,0,3,8.015147765239403,0,N
20230101964617,0,5,0,19,119.32142854662746,5,3,4,2,0,6,7.150147088895276,1,N
20230101964621,1,4,0,13,88.04800084815402,0,4,5,1,0,4,7.433561953355425,0,N
20230101964628,0,4,0,19,83.98205744418777,1,1,2,5,0,5,6.491135074469131,1,Y
20230101964632,1,3,0,3,29.301843292740706,2,0,1,0,2,2,9.767281097580236,1,Y
20230101964638,0,4,0,42,110.35724895247553,5,1,2,5,1,6,4.927172889356859,1,N
20230101964639,1,3,0,22,50.02020695312994,0,5,0,0,0,2,2.3288013648156567,0,N
20230101964640,1,3,0,3,26.024053233257753,0,1,1,1,0,3,8.674684411085918,1,N
20230101964642,1,5,0,8,43.23331981683387,2,1,1,1,0,4,7.226162658670859,1,N
20230101964646,0,4,0,5,34.84973588475953,0,1,0,3,1,2,7.4927636073081345,0,N
20230101964648,0,4,0,8,22.81852779072687,0,1,1,0,2,2,3.623801933810518,1,Y
20230101964650,1,3,0,2,10.990448898463375,1,0,0,0,0,1,5.495224449231688,1,Y
20230101964653,1,3,0,5,22.469391739654426,2,0,0,0,2,1,4.670947141418243,0,Y
20230101964664,1,3,0,18,97.83536906388672,5,2,0,3,0,5,7.324245390562934,1,Y
20230101964665,1,4,0,2,9.613202094214232,0,0,0,1,0,1,4.806601047107116,0,N
20230101964666,0,4,0,14,76.6611336060769,4,1,3,1,0,4,6.132692214919919,1,N
20230101964671,1,5,0,11,38.77535947450458,4,0,0,0,0,1,7.448439533925398,1,Y
20230101964675,1,5,0,2,10.526989863390185,0,0,0,1,0,1,5.263494931695092,1,N
20230101964676,0,5,0,1,9.013595294516504,0,0,1,0,0,1,9.013595294516504,1,N
20230101964677,1,3,0,5,47.577375744410396,4,0,1,0,2,2,9.515475148882079,1,Y
20230101964678,1,4,0,6,22.065950332239566,0,1,0,1,2,2,4.127818387608057,0,Y
20230101964683,1,3,0,1,12.086291990961044,0,1,0,0,1,1,12.086291990961044,1,Y
20230101964684,0,4,0,1,9.89802264710506,0,0,0,1,0,1,9.89802264710506,0,Y
20230101964688,1,4,0,5,9.50383054471094,1,0,0,0,0,1,1.9007661089421881,0,Y
20230101964694,1,4,0,21,60.6440365152223,3,0,4,0,0,3,4.920978179638152,1,Y
20230101964697,1,3,0,2,19.02524389336832,0,1,0,1,0,2,9.51262194668416,0,N
20230101964706,1,4,0,1,9.084436955087028,0,1,0,0,0,1,9.084436955087028,1,N
20230101964707,0,4,0,15,96.07710609635643,2,5,3,1,0,6,7.149875928082166,0,N
20230101964708,0,5,0,3,27.736262301098677,1,0,1,1,1,3,9.245420767032892,0,N
20230101964713,1,3,0,1,9.883947890661512,0,1,0,0,0,1,9.883947890661512,1,Y
20230101964720,1,3,0,1,11.771482491094766,0,1,0,0,1,1,11.771482491094766,0,N
20230101964725,1,4,0,1,9.536617962187329,1,0,0,0,0,1,9.536617962187329,1,N
20230101964764,0,2,0,3,26.846059758440017,2,1,0,0,0,2,8.948686586146673,0,Y
20230101964780,1,3,0,14,101.91177362453598,1,7,3,1,0,4,7.785609188145222,0,N
20230101964782,0,3,0,19,36.89133460024183,1,0,3,0,0,2,3.544767611218033,1,Y
20230101964783,0,4,0,2,11.540705987980957,0,0,1,0,1,1,5.770352993990478,0,Y
20230101964784,0,3,0,3,11.04517529477736,0,0,0,1,0,1,3.68172509825912,0,Y
20230101964786,1,5,0,15,19.69665636214039,1,0,1,0,0,2,1.449732062198431,0,Y
20230101964787,0,5,0,2,19.218660130138964,1,0,0,1,1,2,9.609330065069482,0,N
20230101964788,1,3,0,2,10.187199253484014,1,0,0,0,1,1,5.093599626742007,1,N
20230101964790,0,4,0,4,33.21259351715351,1,3,0,0,0,3,8.303148379288377,0,N
20230101964793,1,4,0,4,10.993513080266917,1,0,0,0,0,1,2.748378270066729,0,N
20230101964796,0,3,0,23,129.23056813496865,2,6,4,3,0,5,7.355736899052227,1,Y
20230101964798,1,3,0,13,73.69472206257001,2,3,0,3,0,5,7.071906480562021,1,Y
20230101964801,0,4,0,14,94.50933146739224,1,8,2,0,0,5,7.639825806404613,0,N
20230101964810,0,4,0,5,44.24623285441154,2,0,2,1,1,3,8.849246570882308,1,N
20230101964813,1,4,0,1,10.34512385694912,1,0,0,0,0,1,10.34512385694912,0,Y
20230101964816,0,3,0,2,20.147510835223827,1,0,0,1,0,2,10.073755417611913,1,Y
